country,PCA_Component_One,PCA_Component_Two
Australia,-0.6582752310617122,0.43059795716854665
Austria,-0.4469788069955797,0.05044634671969433
Belgium,-0.4460523441830895,0.23711921266177266
Canada,-0.8862002044026855,0.07268146801564439
Chile,0.8246073390396785,-0.1147990573212022
Colombia,1.0666513104685598,0.831547235725025
Czech Republic,-0.01947836480186692,-0.5123219376991972
Denmark,-0.8038251753796669,0.054318668494860715
Estonia,0.10447010577292233,-0.5597415976328429
Finland,-0.7580216472205289,-0.1701683547646927
France,-0.1403166644064311,0.06462091201188142
Germany,-0.4559816141746949,-0.0674976939336041
Greece,0.8579537681777478,-0.33227720067242555
Hungary,0.5563054781659873,-0.3563032088938154
Iceland,-0.9080435906060331,0.31555183057515074
Ireland,-0.4605235492952354,0.003763047914422123
Israel,0.13763950662271587,0.11779654654856757
Italy,0.2886006625768992,0.08135710783156226
Japan,-0.016002610163802986,-0.4479252904031141
Korea,0.43153664261804325,-0.6047236679201093
Latvia,0.543213334466601,-0.6353196640514445
Lithuania,0.483053780367006,-0.5727688168670426
Luxembourg,-0.5716851825047597,0.5583948794816281
Mexico,1.3342796175657488,0.7452233277872337
Netherlands,-0.6517954952543761,-0.012173155102895994
New Zealand,-0.6654459413621217,0.3936115118113393
Norway,-0.8876697581513,0.1354493131079332
Poland,0.3405705091781895,-0.6665629403215695
Portugal,0.385230223445145,-0.30096207422728316
Slovak Republic,0.35211663651213276,-0.4686895013661918
Slovenia,-0.07450758518794576,-0.6040179576013076
Spain,-0.012070454782975725,0.062203082332266714
Sweden,-0.6440522627137862,0.059170442874534254
Switzerland,-0.7718483870977227,-0.13335833813478276
Turkey,0.8980584067327746,0.6820799985634973
United Kingdom,-0.4855192957751249,0.0834454679586689
United States,-0.623379815491419,0.5036059394710016
Brazil,0.7593479556810352,0.8953976115926782
Russia,0.6913252450727476,-0.23584191875466326
South Africa,1.3327134585489266,0.4170704670202733
